team,stadium_name,city,capacity,lat,lng,logo
Brighton & Hove Albion,Amex Stadium,Brighton,30750,50.861612, -0.083748,https://upload.wikimedia.org/wikipedia/en/f/fd/Brighton_&_Hove_Albion_logo.svg
Bristol City,Ashton Gate,Bristol,21200,51.440151, -2.620281,https://upload.wikimedia.org/wikipedia/en/thumb/0/00/Bristol_City_FC.svg/300px-Bristol_City_FC.svg.png
Cardiff City,Cardiff City Stadium,Cardiff,33000,51.472898, -3.203135,https://upload.wikimedia.org/wikipedia/en/thumb/3/3c/Cardiff_City_crest.svg/330px-Cardiff_City_crest.svg.png
