team,stadium_name,city,capacity,lat,lng,logo
Modena FC,Alberto Braglia,Modena,20507,44.653460, 10.923068,https://upload.wikimedia.org/wikipedia/en/thumb/b/b7/Modena_FC_logo.svg/195px-Modena_FC_logo.svg.png
Spezia Calcio,Alberto Picco,La Spezia,10336,44.102213, 9.808597,https://upload.wikimedia.org/wikipedia/commons/a/aa/Spezia_Calcio.svg
US Salernitana 1919,Arechi,Salerno,37245,40.645644, 14.823360,https://upload.wikimedia.org/wikipedia/en/d/dd/Salernitana_sport.png
AC Pisa,Arena Garibaldi,Pisa,16173,43.725369, 10.400141,https://upload.wikimedia.org/wikipedia/en/thumb/3/3d/AC_Pisa_1909.png/195px-AC_Pisa_1909.png
